"anio_relevamiento";"provincia";"cod_provincia";"departamento";"cod_departamento";"modalidad_basica";"nivel";"anio_estudio";"secciones";"tipo_seccion"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Inicial";"No corresponde";"";"Multinivel"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Inicial";"Lactantes";"19";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Inicial";"Sala de 2";"21";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Inicial";"Sala de 4";"39";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Inicial";"No corresponde";"0";"Multinivel"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Inicial";"Sala de 5";"53";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Inicial";"Sala de 4";"50";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Inicial";"No corresponde";"";"Multinivel"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Inicial";"Sala de 3";"36";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Inicial";"Sala de 1";"9";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Inicial";"Sala de 5";"50";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Inicial";"No corresponde";"0";"Múltiples"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Inicial";"Lactantes";"7";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Inicial";"No corresponde";"0";"Múltiples"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Inicial";"No corresponde";"";"Múltiples"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Inicial";"No corresponde";"0";"Multinivel"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Inicial";"Sala de 1";"18";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Inicial";"No corresponde";"2";"Múltiples"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Inicial";"Sala de 3";"49";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Inicial";"Sala de 2";"29";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Primaria";"6";"41";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Primaria";"No corresponde";"0";"Multinivel"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Primaria";"4";"42";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Primaria";"3";"64";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Primaria";"4";"60";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Primaria";"No corresponde";"0";"Múltiples"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Primaria";"6";"61";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Primaria";"1";"66";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Primaria";"No corresponde";"0";"Múltiples"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Primaria";"2";"42";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Primaria";"1";"44";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Primaria";"3";"42";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Primaria";"5";"41";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Primaria";"No corresponde";"";"Múltiples"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Primaria";"No corresponde";"0";"Multinivel"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Primaria";"2";"62";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Primaria";"No corresponde";"";"Múltiples"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Primaria";"5";"62";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Secundaria";"10";"50";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Secundaria";"No corresponde";"0";"Múltiples"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Secundaria";"8";"111";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Secundaria";"No corresponde";"";"Múltiples"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Secundaria";"No corresponde";"0";"Multinivel"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Secundaria";"11";"50";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Secundaria";"No corresponde";"";"Múltiples"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Secundaria";"8";"56";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Secundaria";"12";"92";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Secundaria";"11";"90";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Secundaria";"No corresponde";"0";"Múltiples"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Secundaria";"12";"62";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Secundaria";"10";"92";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Secundaria";"7";"41";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Secundaria";"7";"62";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Secundaria";"9";"96";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Secundaria";"9";"51";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Común";"Secundaria";"No corresponde";"0";"Multinivel"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Común";"Inicial";"No corresponde";"";"Múltiples"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Común";"Inicial";"No corresponde";"0";"Múltiples"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Común";"Inicial";"Sala de 3";"12";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Común";"Inicial";"Sala de 4";"12";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Común";"Inicial";"Sala de 4";"45";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Común";"Inicial";"Sala de 2";"30";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Común";"Inicial";"Sala de 5";"50";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Común";"Inicial";"Sala de 2";"5";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Común";"Inicial";"Sala de 1";"1";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Común";"Inicial";"No corresponde";"";"Multinivel"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Común";"Inicial";"No corresponde";"0";"Multinivel"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Común";"Inicial";"Sala de 1";"8";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Común";"Inicial";"No corresponde";"";"Multinivel"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Común";"Inicial";"No corresponde";"4";"Múltiples"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Común";"Inicial";"Sala de 5";"13";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Común";"Inicial";"No corresponde";"0";"Multinivel"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Común";"Inicial";"Lactantes";"8";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Común";"Inicial";"Sala de 3";"44";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Común";"Inicial";"No corresponde";"0";"Múltiples"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Común";"Primaria";"No corresponde";"0";"Múltiples"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Común";"Primaria";"2";"22";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Común";"Primaria";"4";"23";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Común";"Primaria";"3";"38";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Común";"Primaria";"1";"22";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Común";"Primaria";"No corresponde";"";"Múltiples"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Común";"Primaria";"2";"39";"Independiente"
"RA_2013";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Común";"Primaria";"5";"22";"Independiente"
