"anio_relevamiento";"prov";"cod_prov";"depto";"cod_depto";"sector";"modalidad_basica";"nivel";"total"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Estatal";"Adultos";"Secundaria";"5795"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Estatal";"Adultos";"Primaria";"0"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Estatal";"Adultos";"Formación Profesional";"4221"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Estatal";"Común";"Inicial";"0"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Privado";"Común";"Secundaria";"10438"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Estatal";"Común";"Secundaria";"23897"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Estatal";"Común";"Superior No Universitario";"11262"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Privado";"Común";"Superior No Universitario";"15892"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Privado";"Común";"Inicial";"762"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Privado";"Común";"Primaria";"3483"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Estatal";"Común";"Primaria";"0"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Estatal";"Especial";"Todos los niveles";"0"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Estatal";"Adultos";"Formación Profesional";"20"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Estatal";"Adultos";"Secundaria";"1936"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Estatal";"Adultos";"Primaria";"0"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Estatal";"Común";"Primaria";"98"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Privado";"Común";"Superior No Universitario";"2670"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Estatal";"Común";"Inicial";"0"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Privado";"Común";"Primaria";"4108"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Privado";"Común";"Inicial";"659"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Estatal";"Común";"Secundaria";"6560"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Estatal";"Común";"Superior No Universitario";"2654"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Privado";"Común";"Secundaria";"6104"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Privado";"Especial";"Todos los niveles";"219"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Estatal";"Adultos";"Primaria";"0"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Privado";"Adultos";"Formación Profesional";"173"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Estatal";"Adultos";"Secundaria";"3275"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Estatal";"Adultos";"Formación Profesional";"2267"
