"anio_relevamiento";"provincia";"cod_provincia";"departamento";"cod_departamento";"sector";"modalidad_basica";"nivel";"cargos"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Estatal";"Adultos";"Formación Profesional";"287"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Estatal";"Adultos";"Secundaria";"118"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Estatal";"Adultos";"Primaria";"88"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Privado";"Común";"Inicial";"457"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Privado";"Común";"Primaria";"551"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Estatal";"Común";"Superior No Universitario";"257"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Estatal";"Común";"Inicial";"558"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Privado";"Común";"Superior No Universitario";"368"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Estatal";"Común";"Secundaria";"1786"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Estatal";"Común";"Primaria";"1110"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Privado";"Común";"Secundaria";"527"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Estatal";"Especial";"Todos los niveles";"179"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Estatal";"Adultos";"Formación Profesional";"63"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Estatal";"Adultos";"Primaria";"27"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Estatal";"Adultos";"Secundaria";"76"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Estatal";"Común";"Inicial";"191"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Estatal";"Común";"Superior No Universitario";"202"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Privado";"Común";"Secundaria";"227"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Privado";"Común";"Superior No Universitario";"111"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Privado";"Común";"Primaria";"561"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Privado";"Común";"Inicial";"451"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Estatal";"Común";"Secundaria";"689"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Estatal";"Común";"Primaria";"439"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Privado";"Especial";"Todos los niveles";"65"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Privado";"Adultos";"Formación Profesional";"17"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Estatal";"Adultos";"Secundaria";"111"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Privado";"Adultos";"Secundaria";"11"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Estatal";"Adultos";"Formación Profesional";"219"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Estatal";"Adultos";"Primaria";"72"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Estatal";"Común";"Secundaria";"1154"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Privado";"Común";"Primaria";"590"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Estatal";"Común";"Inicial";"337"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Estatal";"Común";"Primaria";"1181"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Estatal";"Común";"Superior No Universitario";"256"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Privado";"Común";"Superior No Universitario";"211"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Privado";"Común";"Secundaria";"302"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Privado";"Común";"Inicial";"469"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Estatal";"Especial";"Todos los niveles";"170"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Privado";"Especial";"Todos los niveles";"173"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Estatal";"Adultos";"Primaria";"113"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Privado";"Adultos";"Secundaria";"20"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Estatal";"Adultos";"Formación Profesional";"424"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Estatal";"Adultos";"Secundaria";"112"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Privado";"Común";"Primaria";"475"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Privado";"Común";"Secundaria";"215"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Estatal";"Común";"Secundaria";"1211"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Estatal";"Común";"Inicial";"860"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Estatal";"Común";"Superior No Universitario";"211"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Privado";"Común";"Inicial";"315"
