"provincia";"cod_provincia";"total";"sensorial";"otras";"ceguera";"dis_visual";"sordera";"hipoacusia";"retraso";"motora_pura";"neuromotora";"trastornos_desarrollo";"mas_de_una";"sin_discapacidad"
"Ciudad de Buenos Aires";"02";"7349";"122";"123";"139";"250";"573";"214";"3430";"150";"186";"692";"616";"854"
"Buenos Aires";"06";"56409";"3043";"8270";"317";"409";"1022";"1330";"33851";"528";"2906";"2855";"1718";"160"
"Catamarca";"10";"970";"26";"9";"18";"25";"10";"15";"662";"15";"41";"59";"57";"33"
"Córdoba";"14";"7613";"86";"152";"56";"85";"122";"232";"5222";"48";"148";"356";"991";"115"
"Corrientes";"18";"3938";"101";"80";"22";"146";"159";"144";"2436";"94";"236";"165";"216";"139"
"Chaco";"22";"3591";"243";"224";"64";"62";"121";"132";"1884";"70";"176";"158";"397";"60"
"Chubut";"26";"1593";"69";"167";"11";"43";"69";"17";"851";"11";"57";"124";"169";"5"
"Entre Ríos";"30";"4767";"160";"202";"46";"81";"117";"91";"2994";"28";"176";"188";"533";"151"
"Formosa";"34";"985";"110";"102";"15";"5";"25";"12";"414";"21";"118";"71";"62";"30"
"Jujuy";"38";"2195";"81";"557";"17";"17";"14";"52";"856";"23";"97";"97";"287";"97"
"La Pampa";"42";"845";"37";"112";"16";"22";"15";"16";"355";"6";"62";"57";"130";"17"
"La Rioja";"46";"575";"8";"0";"8";"6";"25";"13";"380";"8";"41";"29";"50";"7"
"Mendoza";"50";"5673";"59";"97";"20";"30";"31";"184";"4252";"13";"155";"290";"528";"14"
"Misiones";"54";"4725";"133";"172";"41";"71";"125";"138";"2452";"78";"343";"309";"705";"158"
"Neuquén";"58";"2256";"65";"92";"48";"65";"62";"38";"1166";"28";"132";"146";"190";"224"
"Río Negro";"62";"2288";"77";"445";"11";"11";"16";"28";"1058";"10";"49";"74";"384";"125"
"Salta";"66";"3675";"241";"205";"34";"37";"110";"50";"2278";"53";"291";"118";"248";"10"
"San Juan";"70";"3262";"30";"57";"63";"48";"39";"51";"1951";"25";"73";"118";"542";"265"
"San Luis";"74";"1546";"9";"18";"10";"25";"39";"34";"642";"9";"39";"118";"41";"562"
"Santa Cruz";"78";"1001";"33";"77";"3";"8";"7";"26";"534";"23";"26";"103";"133";"28"
"Santa Fe";"82";"6686";"330";"333";"99";"217";"112";"147";"3492";"19";"158";"387";"968";"424"
"Santiago del Estero";"86";"2587";"105";"77";"49";"22";"57";"29";"1802";"20";"121";"85";"180";"40"
"Tucumán";"90";"3841";"93";"177";"56";"30";"71";"136";"2902";"25";"159";"112";"80";"0"
"Tierra del Fuego";"94";"596";"13";"64";"5";"9";"5";"19";"323";"0";"18";"83";"52";"5"
