"anio_relevamiento";"provincia";"cod_provincia";"departamento";"cod_departamento";"sector";"modalidad_basica";"nivel";"count"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Estatal";"Adultos";"Primaria";"20"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Privado";"Común";"Inicial";"32"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Estatal";"Especial";"Taller de Educación Integral";"1"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Estatal";"Común";"Primaria";"27"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Estatal";"Común";"Inicial";"21"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Privado";"Común";"Superior No Universitario";"46"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Estatal";"Especial";"Inicial";"1"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Estatal";"Adultos";"Formación Profesional";"27"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Estatal";"Especial";"Primaria";"2"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Privado";"Común";"Primaria";"25"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Privado";"Especial";"Secundaria";"1"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Privado";"Adultos";"Secundaria";"3"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Estatal";"Adultos";"Secundaria";"24"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Estatal";"Común";"Superior No Universitario";"18"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Estatal";"Común";"Secundaria";"14"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Privado";"Común";"Secundaria";"21"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Privado";"Adultos";"Formación Profesional";"2"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 1";"02101";"Privado";"Especial";"Primaria";"1"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Estatal";"Común";"Primaria";"11"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Estatal";"Adultos";"Secundaria";"6"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Estatal";"Común";"Secundaria";"7"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Privado";"Adultos";"Secundaria";"2"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Estatal";"Adultos";"Primaria";"6"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Privado";"Especial";"Inicial";"1"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Estatal";"Adultos";"Formación Profesional";"5"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Estatal";"Común";"Superior No Universitario";"5"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Estatal";"Común";"Inicial";"10"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Privado";"Común";"Secundaria";"19"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Privado";"Especial";"Taller de Educación Integral";"1"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Privado";"Adultos";"Formación Profesional";"1"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Privado";"Común";"Inicial";"32"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Privado";"Especial";"Primaria";"2"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Privado";"Común";"Superior No Universitario";"16"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Privado";"Común";"Primaria";"24"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 2";"02102";"Estatal";"Especial";"Primaria";"1"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Estatal";"Común";"Secundaria";"13"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Estatal";"Especial";"Primaria";"1"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Privado";"Adultos";"Formación Profesional";"4"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Estatal";"Adultos";"Formación Profesional";"29"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Estatal";"Común";"Inicial";"20"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Estatal";"Especial";"Taller de Educación Integral";"2"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Privado";"Adultos";"Secundaria";"4"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Privado";"Común";"Superior No Universitario";"29"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Privado";"Común";"Inicial";"27"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Estatal";"Común";"Primaria";"28"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Estatal";"Especial";"Inicial";"1"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Privado";"Especial";"Primaria";"3"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Estatal";"Común";"Superior No Universitario";"12"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Privado";"Común";"Primaria";"26"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Privado";"Especial";"Inicial";"1"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Privado";"Común";"Secundaria";"23"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Estatal";"Adultos";"Primaria";"18"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Privado";"Especial";"Taller de Educación Integral";"1"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 3";"02103";"Estatal";"Adultos";"Secundaria";"24"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Privado";"Común";"Primaria";"26"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Estatal";"Especial";"Taller de Educación Integral";"1"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Privado";"Especial";"Inicial";"1"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Privado";"Común";"Inicial";"27"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Estatal";"Común";"Inicial";"45"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Estatal";"Especial";"Inicial";"2"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Estatal";"Adultos";"Formación Profesional";"26"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Privado";"Adultos";"Secundaria";"6"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Privado";"Común";"Secundaria";"19"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Privado";"Adultos";"Primaria";"1"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Privado";"Común";"Superior No Universitario";"1"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Estatal";"Común";"Superior No Universitario";"6"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Estatal";"Adultos";"Primaria";"36"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Estatal";"Especial";"Primaria";"5"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Estatal";"Común";"Primaria";"53"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Estatal";"Común";"Secundaria";"18"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Estatal";"Adultos";"Secundaria";"19"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 4";"02104";"Privado";"Especial";"Primaria";"1"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 5";"02105";"Privado";"Especial";"Taller de Educación Integral";"2"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 5";"02105";"Privado";"Especial";"Inicial";"3"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 5";"02105";"Estatal";"Adultos";"Secundaria";"11"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 5";"02105";"Privado";"Común";"Secundaria";"18"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 5";"02105";"Estatal";"Común";"Secundaria";"9"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 5";"02105";"Estatal";"Común";"Superior No Universitario";"8"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 5";"02105";"Estatal";"Común";"Inicial";"20"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 5";"02105";"Privado";"Adultos";"Formación Profesional";"1"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 5";"02105";"Privado";"Adultos";"Secundaria";"5"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 5";"02105";"Privado";"Común";"Superior No Universitario";"17"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 5";"02105";"Privado";"Especial";"Primaria";"3"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 5";"02105";"Privado";"Común";"Primaria";"23"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 5";"02105";"Estatal";"Común";"Primaria";"19"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 5";"02105";"Estatal";"Adultos";"Primaria";"12"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 5";"02105";"Privado";"Común";"Inicial";"28"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 5";"02105";"Estatal";"Adultos";"Formación Profesional";"18"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 6";"02106";"Estatal";"Común";"Primaria";"21"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 6";"02106";"Estatal";"Especial";"Primaria";"2"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 6";"02106";"Privado";"Especial";"Taller de Educación Integral";"4"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 6";"02106";"Estatal";"Adultos";"Primaria";"5"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 6";"02106";"Estatal";"Común";"Inicial";"19"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 6";"02106";"Privado";"Común";"Secundaria";"21"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 6";"02106";"Privado";"Especial";"Inicial";"1"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 6";"02106";"Estatal";"Común";"Superior No Universitario";"8"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 6";"02106";"Privado";"Adultos";"Secundaria";"2"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 6";"02106";"Estatal";"Especial";"Inicial";"1"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 6";"02106";"Estatal";"Adultos";"Formación Profesional";"8"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 6";"02106";"Privado";"Común";"Inicial";"25"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 6";"02106";"Privado";"Especial";"Primaria";"3"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 6";"02106";"Estatal";"Común";"Secundaria";"10"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 6";"02106";"Privado";"Común";"Primaria";"24"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 6";"02106";"Estatal";"Adultos";"Secundaria";"7"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 6";"02106";"Privado";"Común";"Superior No Universitario";"7"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 6";"02106";"Estatal";"Especial";"Taller de Educación Integral";"1"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 7";"02107";"Estatal";"Especial";"Taller de Educación Integral";"1"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 7";"02107";"Estatal";"Adultos";"Secundaria";"10"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 7";"02107";"Privado";"Especial";"Inicial";"1"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 7";"02107";"Estatal";"Adultos";"Primaria";"12"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 7";"02107";"Estatal";"Especial";"Primaria";"2"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 7";"02107";"Privado";"Común";"Superior No Universitario";"7"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 7";"02107";"Privado";"Especial";"Primaria";"1"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 7";"02107";"Estatal";"Común";"Primaria";"34"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 7";"02107";"Privado";"Común";"Secundaria";"24"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 7";"02107";"Privado";"Común";"Primaria";"32"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 7";"02107";"Estatal";"Común";"Superior No Universitario";"4"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 7";"02107";"Privado";"Adultos";"Secundaria";"5"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 7";"02107";"Privado";"Especial";"Taller de Educación Integral";"2"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 7";"02107";"Estatal";"Común";"Secundaria";"9"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 7";"02107";"Estatal";"Adultos";"Formación Profesional";"14"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 7";"02107";"Estatal";"Común";"Inicial";"28"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 7";"02107";"Privado";"Común";"Inicial";"34"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 7";"02107";"Privado";"Adultos";"Primaria";"2"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 8";"02108";"Estatal";"Común";"Secundaria";"13"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 8";"02108";"Estatal";"Especial";"Inicial";"2"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 8";"02108";"Privado";"Adultos";"Primaria";"1"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 8";"02108";"Privado";"Adultos";"Secundaria";"3"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 8";"02108";"Estatal";"Adultos";"Formación Profesional";"26"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 8";"02108";"Estatal";"Común";"Primaria";"32"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 8";"02108";"Privado";"Común";"Superior No Universitario";"6"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 8";"02108";"Privado";"Común";"Primaria";"16"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 8";"02108";"Estatal";"Común";"Inicial";"38"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 8";"02108";"Privado";"Común";"Inicial";"18"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 8";"02108";"Privado";"Común";"Secundaria";"14"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 8";"02108";"Estatal";"Común";"Superior No Universitario";"5"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 8";"02108";"Estatal";"Adultos";"Secundaria";"10"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 8";"02108";"Estatal";"Especial";"Primaria";"3"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 8";"02108";"Estatal";"Adultos";"Primaria";"31"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 9";"02109";"Estatal";"Común";"Secundaria";"11"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 9";"02109";"Estatal";"Adultos";"Secundaria";"9"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 9";"02109";"Estatal";"Adultos";"Primaria";"12"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 9";"02109";"Estatal";"Común";"Primaria";"40"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 9";"02109";"Estatal";"Común";"Inicial";"37"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 9";"02109";"Privado";"Común";"Superior No Universitario";"5"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 9";"02109";"Estatal";"Común";"Superior No Universitario";"4"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 9";"02109";"Estatal";"Adultos";"Formación Profesional";"17"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 9";"02109";"Privado";"Común";"Inicial";"23"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 9";"02109";"Privado";"Adultos";"Secundaria";"2"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 9";"02109";"Privado";"Común";"Secundaria";"17"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 9";"02109";"Privado";"Común";"Primaria";"23"
"RA_2014";"Ciudad de Buenos Aires";"02";"Comuna 10";"02110";"Estatal";"Especial";"Primaria";"5"
